,year,month,known_price_count,price
0,2004,1,0,0.0
1,2004,2,0,0.0
2,2004,3,1,0.0
3,2004,4,0,0.0
4,2004,5,0,0.0
5,2004,6,1,0.0
6,2004,7,1,0.0
7,2004,8,0,0.0
8,2004,9,4,0.0
9,2004,10,0,0.0
10,2004,11,1,6.5
11,2004,12,1,12.02
12,2005,1,2,0.0
13,2005,2,1,5.5
14,2005,3,0,0.0
15,2005,4,1,0.0
16,2005,5,3,95.42
17,2005,6,1,0.0
18,2005,7,0,0.0
19,2005,8,1,0.0
20,2005,9,2,0.0
21,2005,10,3,0.0
22,2005,11,2,0.0
23,2005,12,2,0.0
24,2006,1,1,0.0
25,2006,2,2,10.6
26,2006,3,2,0.0
27,2006,4,2,0.0
28,2006,5,0,0.0
29,2006,6,0,0.0
30,2006,7,2,43.07
31,2006,8,1,0.0
32,2006,9,2,0.0
33,2006,10,1,4.3
34,2006,11,3,8.0
35,2006,12,1,35.0
36,2007,1,9,0.0
37,2007,2,5,62.0
38,2007,3,5,10.0
39,2007,4,3,0.0
40,2007,5,2,1.2
41,2007,6,4,19.0
42,2007,7,2,3.94
43,2007,8,8,4.0
44,2007,9,3,0.0
45,2007,10,8,85.27
46,2007,11,7,4.0
47,2007,12,13,145.83
48,2008,1,6,3.4
49,2008,2,4,0.0
50,2008,3,10,534.0
51,2008,4,8,5.72
52,2008,5,6,0.0
53,2008,6,3,0.0
54,2008,7,12,14.6
55,2008,8,5,1.4
56,2008,9,21,15.26
57,2008,10,1,1.56
58,2008,11,8,0.0
59,2008,12,9,2.01
60,2009,1,6,0.0
61,2009,2,13,12.973
62,2009,3,4,0.0
63,2009,4,2,5.8
64,2009,5,14,10.27
65,2009,6,26,109.61
66,2009,7,16,7.05
67,2009,8,14,72.61
68,2009,9,6,7.45
69,2009,10,9,0.0
70,2009,11,12,62.6
71,2009,12,24,4.46
72,2010,1,5,0.0
73,2010,2,6,3.0
74,2010,3,22,23.44
75,2010,4,5,0.0
76,2010,5,13,38.98
77,2010,6,14,85.27
78,2010,7,12,178.82
79,2010,8,32,63.5
80,2010,9,20,37.56
81,2010,10,3,0.0
82,2010,11,20,15.0
83,2010,12,26,158.82
84,2011,1,35,4.43
85,2011,2,15,80.94
86,2011,3,15,48.2
87,2011,4,11,273.74
88,2011,5,20,64.11
89,2011,6,32,108.1568
90,2011,7,56,171.99
91,2011,8,33,1.3
92,2011,9,46,29.92
93,2011,10,20,33.09
94,2011,11,31,140.24
95,2011,12,26,58.79
96,2012,1,21,10.746
97,2012,2,36,158.64
98,2012,3,60,16.46
99,2012,4,53,43.42
100,2012,5,52,265.17999999999995
101,2012,6,43,225.05
102,2012,7,46,19.26
103,2012,8,11,2.7
104,2012,9,40,62.83
105,2012,10,23,0.0
106,2012,11,60,180.25
107,2012,12,78,271.28000000000003
108,2013,1,53,75.67
109,2013,2,35,30.05
110,2013,3,64,334.78000000000003
111,2013,4,28,3.9
112,2013,5,57,48.85
113,2013,6,101,283.65
114,2013,7,83,104.24
115,2013,8,74,174.26
116,2013,9,71,55.25
117,2013,10,72,98.184
118,2013,11,125,197.72
119,2013,12,93,480.25
120,2014,1,95,75.5
121,2014,2,112,90.02
122,2014,3,91,59.7331
123,2014,4,170,207.87
124,2014,5,239,193.596
125,2014,6,206,217.75
126,2014,7,187,175.533
127,2014,8,243,523.698
128,2014,9,225,326.76
129,2014,10,65,44.92
130,2014,11,87,84.3106
131,2014,12,110,273.5795
132,2015,1,143,232.24
133,2015,2,165,110.372
134,2015,3,141,184.98
135,2015,4,294,451.48
136,2015,5,364,446.436
137,2015,6,301,1111.97
138,2015,7,119,265.31
139,2015,8,195,263.2359
140,2015,9,364,355.395
141,2015,10,180,176.149
142,2015,11,281,1026.75
143,2015,12,429,737.743183
144,2016,1,206,571.35
145,2016,2,89,272.83
146,2016,3,171,424.5176
147,2016,4,188,445.755
148,2016,5,181,188.2695
149,2016,6,57,264.18
150,2016,7,82,468.93
151,2016,8,143,403.363
152,2016,9,248,888.8564
153,2016,10,132,153.804826
154,2016,11,120,442.4098
155,2016,12,149,442.4
156,2017,1,22,51.8
157,2017,2,27,96.43
158,2017,3,38,173.02
159,2017,4,27,82.34
160,2017,5,37,100.21
161,2017,6,21,68.1
162,2017,7,61,52.85
163,2017,8,175,321.71
164,2017,9,173,191.954
165,2017,10,167,163.63
166,2017,11,144,561.83
167,2017,12,80,69.391
168,2018,1,71,159.49
169,2018,2,51,135.86
170,2018,3,64,91.0
171,2018,4,2,0.0
172,2018,5,106,682.18
173,2018,6,85,653.97
174,2018,7,73,270.06
175,2018,8,64,203.56
176,2018,9,90,480.5
177,2018,10,39,12.47
178,2018,11,76,122.74
179,2018,12,47,103.28
180,2019,1,35,238.85
181,2019,2,47,82.88000000000001
182,2019,3,37,25.26
183,2019,4,60,477.02
184,2019,5,68,54.525
185,2019,6,74,247.82
186,2019,7,52,28.248
187,2019,8,75,49.13
188,2019,9,71,124.12
189,2019,10,75,61.23
190,2019,11,86,46.59
191,2019,12,112,62.158
