,Newsmedia,count,price,d_count,count_shift
0,东方财富网,232,4773.9656,217.2699961562165,175.1764705882353
1,和讯网,152,2098.331,95.49804219462115,95.1764705882353
2,凤凰财经,134,2127.576,96.82902393390904,77.1764705882353
3,金融界,101,2244.480996,102.14953735184453,44.1764705882353
4,新浪,45,1377.413183,62.68804219618421,-11.823529411764703
5,网易,44,572.9725,26.076797217101387,-12.823529411764703
6,中国证券网,41,1249.39,56.861524200680314,-15.823529411764703
7,搜狐,36,529.5799999999999,24.101942536915036,-20.823529411764703
8,南方财富,32,699.86,31.851628656454846,-24.823529411764703
9,财经网,25,950.899,43.27677226558777,-31.823529411764703
10,搜狐财经,22,1103.15,50.2059328328068,-34.8235294117647
11,中金在线,21,368.848,16.78679954087397,-35.8235294117647
12,第一财经,20,532.804,24.248671383810716,-36.8235294117647
13,新财界,17,233.135,10.610306985429373,-39.8235294117647
14,中证网,17,216.15,9.837295364919722,-39.8235294117647
15,证券之星,16,199.87,9.096369301811263,-40.8235294117647
16,全景网,11,268.96999999999997,12.241209041417797,-45.8235294117647
