source,target,value
万科A,和讯网,19
万科A,新浪,15
美锦能源,和讯网,12
博瑞传播,金融界,12
天齐锂业,东方财富网,11
博瑞传播,和讯网,10
中弘股份,凤凰财经,10
上海家化,金融界,9
电广传媒,和讯网,9
山东黄金,和讯网,9
美的集团,中金在线,9
紫金矿业,和讯网,9
乐视网,和讯网,9
福成五丰,凤凰财经,9
万科A,赢商新闻,9
赣锋锂业,凤凰财经,8
中联重科,凤凰财经,8
中国石油,国际石油网,8
贝因美,凤凰财经,8
长城汽车,中金在线,8
上海医药,金融界,8
粤传媒,和讯网,8
电广传媒,金融界,8
美锦能源,中金在线,8
中联重科,东方财富网,8
传化股份,中金在线,7
鄂武商A,凤凰财经,7
中国石化,和讯网,7
宏盛,金融界,7
首钢股份,和讯网,7
中弘股份,东方财富网,7
三一重工,和讯网,7
美的集团,中国家电网,7
美的集团,东方财富网,7
水井坊,金融界,7
山西汾酒,和讯网,7
万科A,搜狐财经,7
中弘股份,中国证券网,7
贝因美,金融界,7
长城汽车,金融界,7
世纪华通,东方财富网,7
美的集团,环球网,7
华昌达,和讯网,7
美锦能源,网易,7
美的集团,汇金网,7
长城汽车,新浪,7
金一文化,东方财富网,7
中视传媒,和讯网,7
力源信息,东方财富网,7
美的集团,金融界,7
中信证券,新浪,6
宝利沥青,凤凰财经,6
紫金矿业,金融界,6
粤传媒,网易,6
先锋新材,金融界,6
美锦能源,金融界,6
仁智油服,东方财富网,6
宏盛,和讯网,6
道博股份,凤凰财经,6
浙报传媒,和讯网,6
赛为智能,金融界,6
道博股份,东方财富网,6
海伦哲,中金在线,6
中国重汽,盖世汽车资讯,6
中信证券,金融界,6
紫金矿业,新浪,6
首钢股份,凤凰财经,6
上海莱士,东方财富网,6
上海医药,和讯网,6
华录百纳,凤凰财经,6
赤峰黄金,凤凰财经,6
德力股份,凤凰财经,6
首钢股份,网易,6
首钢股份,金融界,6
中科金财,凤凰财经,6
美的集团,和讯网,6
西安民生,和讯网,6
郑煤机,金融界,6
紫金矿业,东方财富网,6
凤凰传媒,网易,6
传化股份,东方财富网,6
清华紫光,元器件交易网,6
紫金矿业,中金在线,6
思美传媒,新浪,6
美的集团,新浪,6
双林股份,凤凰财经,6
大地传媒,凤凰财经,6
兖州煤业,和讯网,6
陆家嘴,金融界,6
兖州煤业,金融界,6
中弘股份,中金在线,6
大地传媒,东方财富网,6
力源信息,中金在线,6
金马股份,金融界,6
飞乐音响,凤凰财经,5
力源信息,凤凰财经,5
飞乐音响,金融界,5
皇氏乳业,凤凰财经,5
海默科技,凤凰财经,5
中联重科,经济通,5
大元股份,凤凰财经,5
万达院线,和讯网,5
中技控股,中金在线,5
群兴玩具,金融界,5
大唐电信,和讯网,5
新大新材,21CN财经频道,5
宁波建工,金融界,5
游族网络,东方财富网,5
福安药业,凤凰财经,5
中文传媒,凤凰财经,5
上海医药,新浪,5
联建光电,网易,5
海伦哲,东方财富网,5
苏宁电器,和讯网,5
高新兴,和讯网,5
大元股份,东方财富网,5
新时达,凤凰财经,5
中源协和,金融界,5
旋极信息,中金在线,5
美的集团,中国工业电器网,5
中国神华,和讯网,5
博瑞传播,凤凰财经,5
金马股份,中金在线,5
神州数码,挖贝网,5
中联重科,中金在线,5
华昌达,金融界,5
中葡股份,东方财富网,5
三一重工,CCTV经济网,5
通富微电,凤凰财经,5
美的集团,汇通网,5
中南重工,凤凰财经,5
亚星化学,凤凰财经,5
三五互联,网易,5
中联重科,和讯网,5
青岛海尔,和讯网,5
美的集团,中国通信网,5
天润控股,凤凰财经,5
博瑞传播,新浪,5
山东黄金,新浪,5
中联重科,新浪,5
万科A,金融界,5
中国平安,金融界,5
南京新百,新浪,5
长江电力,搜狐,5
长江电力,新浪,5
蓝色光标,凤凰财经,5
佰利联,新浪,5
鄂武商A,和讯网,5
西安饮食,中金在线,5
美的集团,家电网,5
中源协和,东方财富网,5
五粮液,金融界,5
大地传媒,网易,5
第一创业,金融界,5
金一文化,和讯网,5
中国平安,东方财富网,5
中国银河,东方财富网,5
金一文化,网易,5
福成五丰,网易,5
复星医药,经济通,5
上海家化,证券之星,5
赛为智能,凤凰财经,5
粤传媒,新浪,5
中文传媒,网易,5
大地传媒,中金在线,5
全通教育,搜狐财经,5
金瑞矿业,东方财富网,5
华宏科技,新浪,5
福成五丰,和讯网,5
利亚德,和讯网,5
万科A,第1财经,5
南京新百,东方财富网,5
东土科技,凤凰财经,5
江特电机,凤凰财经,5
上海家化,网易,5
海陆重工,新浪,5
猛狮科技,东方财富网,5
天齐锂业,南方财富,4
中粮地产,东方财富网,4
长荣股份,和讯网,4
三毛派神,和讯网,4
中国嘉陵,金融界,4
万丰奥威,东方财富网,4
华声股份,证券之星,4
电广传媒,新浪,4
三毛派神,东方财富网,4
赤天化,中金在线,4
亚星化学,中金在线,4
暴风科技,中金在线,4
鄂武商A,新浪,4
大元股份,金融界,4
汇冠股份,中金在线,4
佰利联,金融界,4
世纪华通,和讯网,4
潍柴动力,和讯网,4
赤峰黄金,网易,4
特锐德,新财界,4
中集集团,新浪,4
华宏科技,和讯网,4
深天马A,凤凰财经,4
初灵信息,中金在线,4
中视传媒,网易,4
光明乳业,金融界,4
赤峰黄金,和讯网,4
重庆啤酒,中国网,4
西藏药业,新浪,4
工大高新,东方财富网,4
深天地A,新浪,4
华宏科技,东方财富网,4
天齐锂业,凤凰财经,4
华数传媒,搜狐财经,4
天科股份,凤凰财经,4
华数传媒,金融界,4
亨通光电,金融界,4
美锦能源,凤凰财经,4
坚瑞消防,凤凰财经,4
上海家化,新浪,4
浩丰科技,凤凰财经,4
上海家化,和讯网,4
上海家化,华讯网,4
中能电气,凤凰财经,4
华昌达,中金在线,4
中文传媒,新浪,4
富临运业,东方财富网,4
工大高新,南方财富,4
中能电气,中金在线,4
美的集团,经济通,4
华联股份,证券之星,4
美锦能源,全景网,4
中材国际,东方财富网,4
美的集团,腾讯网,4
博通股份,东方财富网,4
美锦能源,东方财富网,4
海伦哲,凤凰财经,4
第一创业,新浪,4
天齐锂业,金融界,4
濮耐股份,网易,4
天沃科技,金融界,4
丰原药业,中金在线,4
长江证券,和讯网,4
