Scode,Coname,NewsDt,NewsID,Newsmedia,Buyernm,Sellernm,Subnm,Eqtrart,MAprice,Currut,Ifrumor,State,corporation_name
股票代码,公司简称,新闻日期,新闻ID,新闻来源,买方名称,卖方名称,标的方名称,转让比例,并购价格,货币单位,是否为传闻,说明,卖方名称
000002,万科A,2008-05-27,G1040035596,金融界,深圳万科,深圳市易理房地产开发有限公司,深圳市易理房地产开发有限公司股权,0,0,未知,是,无,深圳市易理房地产开发有限公司
000002,万科A,2008-10-20,L1988589485,钢联资讯,万科,恒大地产,无,0,0,未知,是,证实为谣言,恒大地产
000002,万科A,2008-10-20,L1988589486,搜狐财经,万科,恒大地产,无,0,0,未知,是,证实为谣言,恒大地产
000002,万科A,2008-10-20,L1988589487,中国经济网,万科,恒大地产,无,0,0,未知,是,证实为谣言,恒大地产
000002,万科A,2008-10-21,H793846010,搜狐,万科,恒大地产,无,0,0,未知,是,证实为谣言,恒大地产
000002,万科A,2008-10-21,D290761004,重庆新闻网,万科,恒大地产,无,0,0,未知,是,证实为谣言,恒大地产
000002,万科A,2010-08-16,Q793836286,第1财经,北京万科,北京中信房地产有限公司,赢嘉中心B座,0,11.5亿元,人民币,是,无,赢嘉中心B座
000002,万科A,2010-08-18,Q752834220,第1财经,北京万科,北京中信房地产有限公司,赢嘉中心B座,0,11.5亿元,人民币,否,无,赢嘉中心B座
000002,万科A,2010-08-18,K1281203049,和讯网,北京万科,北京中信房地产有限公司,赢嘉中心B座,0,11.5亿元,人民币,否,无,赢嘉中心B座
000002,万科A,2010-08-18,N1252655939,和讯网,北京万科,北京中信房地产有限公司,赢嘉中心B座,0,11.5亿元,人民币,否,无,赢嘉中心B座
000002,万科A,2010-08-18,G1234856894,华股财经,北京万科,北京中信房地产有限公司,赢嘉中心B座,0,11.5亿元,人民币,否,无,赢嘉中心B座
000002,万科A,2010-10-26,G888693636,新浪,深圳万科,深圳市建设（集团）有限公司工会委员会、深圳市建设家园物业服务有限公司工会委员会,深圳市建设(集团)有限公司71%股权,71.00%,0,未知,是,无,深圳市建设(集团)有限公司71%股权
000002,万科A,2010-10-27,L1998383101,CCTV经济网,深圳万科,深圳市建设（集团）有限公司工会委员会、深圳市建设家园物业服务有限公司工会委员会,深圳市建设(集团)有限公司71%股权,71.00%,8.32亿元,人民币,是,无,深圳市建设(集团)有限公司71%股权
000002,万科A,2010-10-27,L1998383102,和讯网,深圳万科,深圳市建设（集团）有限公司工会委员会、深圳市建设家园物业服务有限公司工会委员会,深圳市建设(集团)有限公司71%股权,71.00%,8.32亿元,人民币,是,无,深圳市建设(集团)有限公司71%股权
000002,万科A,2010-10-27,Q1177674755,金融界,深圳万科,深圳市建设（集团）有限公司工会委员会、深圳市建设家园物业服务有限公司工会委员会,深圳市建设(集团)有限公司71%股权,71.00%,8.32亿元,人民币,是,无,深圳市建设(集团)有限公司71%股权
000002,万科A,2010-10-27,L1998383103,新浪,深圳万科,深圳市建设（集团）有限公司工会委员会、深圳市建设家园物业服务有限公司工会委员会,深圳市建设(集团)有限公司71%股权,71.00%,8.32亿元,人民币,是,无,深圳市建设(集团)有限公司71%股权
000002,万科A,2010-10-27,L1998383104,中安在线,深圳万科,深圳市建设（集团）有限公司工会委员会、深圳市建设家园物业服务有限公司工会委员会,深圳市建设(集团)有限公司71%股权,71.00%,8.32亿元,人民币,是,无,深圳市建设(集团)有限公司71%股权
000002,万科A,2012-11-01,R218537318,财经网,万科,济南天泰置业公司,济南天泰置业公司股权,60.00%,0,未知,是,无,济南天泰置业公司
000002,万科A,2012-11-01,D1771816237,赢商新闻,万科,济南天泰置业公司,济南天泰置业公司股权,60.00%,0,未知,是,无,济南天泰置业公司
000002,万科A,2014-02-26,A1182607272,赢商新闻,万科,无,一块面积为60公顷的濒海土地,0,74.64亿元,人民币,是,无,一块面积为60公顷的濒海土地
