Scode,Coname,NewsDt,NewsID,Newsmedia,Buyernm,Sellernm,Subnm,Eqtrart,MAprice,Currut,Ifrumor,State,corporation_name
000002,万科A,2010-08-18,Q752834220,第1财经,北京万科,北京中信房地产有限公司,赢嘉中心B座,0,11.5,人民币,否,无,赢嘉中心B座
000005,世纪星源,2015-05-11,R1322930335,南方财富,世纪星源,无,博世华股权,80.51%,4.5,人民币,否,无,博世华股权
000007,零七股份,2014-09-04,D1622110170,财经网,零七股份,无,广和慧云100%股权,100.00%,10.0,人民币,否,无,广和慧云100%股权
000007,全新好,2016-06-21,L821358399,财华智库网,全新好,山南弘扬、上海双鹰等111名交易对方,港澳资讯股权,100.00%,16.5,人民币,否,无,港澳资讯股权
000008,宝利来,2014-09-18,Q1637451681,凤凰财经,宝利来,无,新联铁100%股权,100.00%,18.0,人民币,否,无,新联铁100%股权
000008,神州高铁,2018-07-12,R1654628688,东方财富网,神州高铁,无,优络科技100%股权,100%,18.0,人民币,否,无,优络科技100%股权
000010,深华新,2015-05-18,E864378035,和讯网,深华新,无,江苏八达园林有限责任公司100%股权,100.00%,16.6,人民币,否,无,江苏八达园林有限责任公司100%股权
000016,深康佳,2018-07-02,R913208183,东方财富网,深康佳,无,无,0,4.55,人民币,否,无,无
000022,深赤湾A,2018-06-20,R1691097639,东方财富网,深赤湾,CMID,招商局港口38.72%股份,38.72%,246.5,人民币,否,无,CMID
000023,深天地A,2009-07-09,R1435441587,和讯网,深天地,无,陕西通达果汁集团股份有限公司股权,100.00%,5.88,人民币,否,无,陕西通达果汁集团股份有限公司股权
000027,深圳能源,2015-09-23,N575518653,新财界,深圳能源,NewQuestCapitalPartners等8名交易对方,CPT100%股权,100.00%,34.62,人民币,否,无,CPT100%股权
000031,中粮地产,2018-09-13,N1322726240,东方财富网,中粮地产,明毅有限公司,大悦城地产股权,59.59%,147.56,人民币,否,无,明毅有限公司
000035,中国天楹,2018-07-11,M971130526,东方财富网,中国天楹,无,江苏德展100%股权,100%,88.8,人民币,否,无,江苏德展100%股权
000038,深大通,2015-07-23,M2071598251,东方财富网,深大通,无,冉十科技(北京)有限公司100%股权、浙江视科文化传播有限公司100%股权,冉十科技(北京)有限公司100%；浙江视科文化传播有限公司100%,27.5,人民币,否,无,冉十科技(北京)有限公司100%股权、浙江视科文化传播有限公司100%股权
000039,中集集团,2006-02-08,E676773849,新浪,中集集团,博格兄弟,荷兰博格工业公司,75.00%,10.6,人民币,否,无,博格兄弟
000043,中航地产,2008-04-12,H177380741,搜狐,江西中航地产有限责任公司,无,江西江湾实业有限公司、江西佳利商城住宅开发有限公司、江西佳利商城市场开发有限公司、江西佳利商城物流园有限公司、江西佳利商城新天地广场有限公司5家公司67%的股权,江西江湾实业有限公司67%；江西佳利商城住宅开发有限公司67%；江西佳利商城市场开发有限公司67%；江西佳利商城物流园有限公司67%；江西佳利商城新天地广场有限公司67%,3.5,人民币,否,无,江西江湾实业有限公司、江西佳利商城住宅开发有限公司、江西佳利商城市场开发有限公司、江西佳利商城物流园有限公司、江西佳利商城新天地广场有限公司5家公司67%的股权
000048,康达尔,2015-09-07,M2035747863,新财界,康达尔,无,位于深圳市罗湖区东门约1万平方米的商业物业和位于深圳市龙岗区布吉约3万平方米的物流用地,0,5.0,人民币,否,无,位于深圳市罗湖区东门约1万平方米的商业物业和位于深圳市龙岗区布吉约3万平方米的物流用地
000050,深天马A,2013-11-11,N1440441495,东方财富网,深天马,无,上海天马70%股权、成都天马40%股权、武汉天马90%股权、上海光电子100%股权、深圳光电子100%股权,上海天马70%；成都天马40%；武汉天马90%；上海光电子100%；深圳光电子100%,54.16,人民币,否,无,上海天马70%股权、成都天马40%股权、武汉天马90%股权、上海光电子100%股权、深圳光电子100%股权
000060,中金岭南,2008-12-12,P1259058364,金融界,中金岭南,澳大利亚上市公司PERILYALIMITED,澳大利亚上市公司PERILYALIMITED股权,50.10%,2.01,人民币,否,无,澳大利亚上市公司PERILYALIMITED
000069,华侨城A,2015-12-14,N1364851547,凤凰财经,宏盛科技,华侨城,文旅科技100%股权,100.00%,16.0,人民币,否,无,华侨城
000070,特发信息,2015-04-13,L965933620,凤凰财经,特发信息,陈传荣、胡毅、殷敬煌和曜骏实业等4名股东及戴荣、阴陶、林峰、陈宇、张红霞和新余道合等6名股东,深圳东志股权和成都傅立叶股权,深圳东志100%；成都傅立叶100%,4.4,人民币,否,无,深圳东志股权和成都傅立叶股权
000100,TCL集团,2017-09-25,G374674879,金融界,TCL集团,长江汉翼、星宇有限、林周星澜、林周星涌、林周星源、林周星涟,华星光电10.04%股权,10.04%,40.34,人民币,否,无,华星光电10.04%股权
000150,宜华地产,2010-03-04,F683941129,和讯网,宜华地产,宜华集团,湘潭项目公司股权、梅州项目公司股权、揭东项目公司股权、宜东项目公司,湘潭项目公司100%；梅州项目公司100%；揭东项目公司100%；宜东项目公司100%,13.44,人民币,否,无,宜华集团
000153,丰原药业,2014-03-25,K2074989287,搜狐,丰原药业,普什集团,普什制药股权,100.00%,2.4,人民币,否,无,普什集团
000157,中联重科,2014-08-21,H648066712,财信网,中联重科,奇瑞重工,奇瑞重工60%股权,60.00%,20.88,人民币,否,无,奇瑞重工
000158,常山股份,2015-09-28,G511321711,新财界,常山股份,无,索科维尔（北京）软件系统有限公司、北京天时前途自动化工程手艺有限公司、山东乐成信息手艺有限公司、北京明润华创科技有限公司四公司100%股权,索科维尔（北京）软件系统有限公司100%；北京天时前途自动化工程手艺有限公司100%；山东乐成信息手艺有限公司100%；北京明润华创科技有限公司100%,4.0,人民币,否,无,索科维尔（北京）软件系统有限公司、北京天时前途自动化工程手艺有限公司、山东乐成信息手艺有限公司、北京明润华创科技有限公司四公司100%股权
000301,丝绸股份,2008-04-18,D19677450,搜狐,丝绸股份,上海金欧利纺织品有限公司,吉林省松原市华都石油开发有限公司90％的股权,90.00%,1.0,人民币,否,无,上海金欧利纺织品有限公司
000301,东方市场,2017-08-22,L189069952,财新网,东方市场,盛虹科技、国开基金,国望高科100%股权,100.00%,127.0,人民币,否,无,盛虹科技、国开基金
000333,美的集团,2010-07-01,M1958482094,浙江新闻网,美的集团,无,贵雅照明有限公司,0,2.0,人民币,否,无,贵雅照明有限公司
000338,潍柴动力,2012-09-03,F1199581464,华股财经,潍柴动力,无,凯傲、林德液压股权,凯傲25%；林德液压70%,59.0,人民币,否,无,凯傲、林德液压股权
000400,许继电气,2013-06-18,M1531777977,东方财富网,许继电气,许继集团,柔性输电分公司业务及相关资产与负债、许继电源有限公司75%股权、许昌许继软件技术有限公司10%股权、上海许继电气有限公司50%股权,许继电源有限公司75%；许昌许继软件技术有限公司10%；上海许继电气有限公司50%,19.32,人民币,否,无,许继集团
000401,冀东水泥,2016-06-30,M573394446,中国证券网,冀东水泥,金隅股份、河北建设、迪策创业、达科投资、爱廸新能源、北投中心、北投中心二期、华建国际、信达投资和信达资管、冀东集团、冀东骨料,金隅水泥经贸、琉璃河水泥、鼎鑫水泥、峰峰混凝土、华信建材、通达耐火、红树林环保、哲君科技等31家公司的股权及冀东混凝土等另三家公司的股权,0,154.96,人民币,否,无,金隅股份、河北建设、迪策创业、达科投资、爱廸新能源、北投中心、北投中心二期、华建国际、信达投资和信达资管、冀东集团、冀东骨料
000409,山东地矿,2016-09-12,K40130897,和讯网,山东地矿,莱州鸿昇,莱州金盛100%股权,100.00%,20.48,人民币,否,无,莱州鸿昇
000413,东旭光电,2015-01-27,Q1598083541,凤凰财经,东旭光电,宝石集团,旭新光电100%股权、旭飞光电100%股权,旭新光电100%；旭飞光电100%,80.0,人民币,否,无,宝石集团
000415,渤海租赁,2011-12-10,G953965192,金融界,渤海租赁,无,海航香港100%股权,100.00%,24.3,人民币,否,无,海航香港100%股权
000415,渤海金控,2016-07-29,F648237699,东方财富网,渤海金控,广州泽达、海航集团,华安财险、HKAC部分股权,华安财险14.77%,28.28,人民币,否,无,广州泽达、海航集团
000418,小天鹅A,2008-03-04,N1285735818,搜狐财经,美的电器,国联集团,小天鹅股权,24.01%,16.8,人民币,否,无,国联集团
000422,湖北宜化,2008-01-16,G1288074100,搜狐,湖北宜化,巴东县南方矿业有限公司、长阳清江化工有限责任公司,湖北香溪化工有限公司55%股权,55.00%,1.0,人民币,否,无,湖北香溪化工有限公司55%股权
000426,兴业矿业,2016-02-22,D1396572214,凤凰财经,兴业矿业,兴业集团、吉伟、吉祥、吉喆等；白旗乾金达股东,银漫矿业股权；白旗乾金达股权,银漫矿业100%；白旗乾金达100%,37.18,人民币,否,无,银漫矿业股权；白旗乾金达股权
000429,粤高速A,2011-06-12,G654478312,和讯网,粤高速,广东省公路建设有限公司,广州广珠交通投资管理有限公司股权,100.00%,27.92,人民币,否,无,广东省公路建设有限公司
000498,山东路桥,2019-11-28,Q660119171,和讯网,山东路桥,山东高速,齐鲁建设100%股权,100%,4.02,人民币,否,无,山东高速
000502,绿景地产,2010-09-29,F1458406338,和讯网,绿景地产,海航置业、酒店控股,海航酒店管理公司100%股权、城建天誉100%股权及燕京饭店45%股权,海航酒店管理公司100%；城建天誉100%；燕京饭店45%,15.13,人民币,否,无,海航置业、酒店控股
000509,华塑控股,2016-05-22,F2142843084,凤凰财经,华塑控股,曲水中青,和创未来51%股权,51.00%,14.28,人民币,否,无,曲水中青
000511,烯碳新材,2015-12-03,D913030099,凤凰财经,烯碳新材,无,晨阳碳材100%股权,100.00%,6.1,人民币,否,无,晨阳碳材100%股权
000516,开元投资,2011-11-24,E1385942001,金融界,开元投资,申华控股集团有限公司、西安银凯医疗管理有限公司,西安高新医院股权,100.00%,2.97,人民币,否,无,西安高新医院股权
000519,江南红箭,2015-12-12,D125824470,东方财富网,江南红箭,兵器工业集团,兵器工业集团旗下军品、民品业务,0,23.89,人民币,否,无,兵器工业集团
000526,银润投资,2015-08-09,A730460563,和讯网,银润投资,无,学大教育股权,100.00%,23.0,人民币,否,无,学大教育股权
000527,美的电器,2008-03-04,N1285735819,搜狐财经,美的电器,国联集团,小天鹅股权,24.01%,16.8,人民币,否,无,国联集团
000534,汕电力,2006-07-17,P1312206662,新浪,万泽集团,汕头市电力开发公司,汕电力6039.79万股(占总股本的29%)股份,29.00%,1.77,人民币,否,无,汕头市电力开发公司
000534,万泽股份,2011-12-01,F356133782,凤凰财经,万泽股份,无,深圳市万泽房地产开发有限公司47.75％股权、常州万泽天海置业有限公司100％股权,深圳市万泽房地产开发有限公司47.75％；常州万泽天海置业有限公司100％,7.45,人民币,否,无,深圳市万泽房地产开发有限公司47.75％股权、常州万泽天海置业有限公司100％股权
000537,广宇发展,2013-11-15,Q1687091992,赢商新闻,广宇发展,鲁能集团在内的3个交易对象,多项房地产资产,0,124.84,人民币,否,无,多项房地产资产
