,word,count
0,挥挥激,1
1,森严,1
2,棚顶,1
3,棒槌,1
4,棒子面,1
5,棒子,1
6,棍子,1
7,棉衣,1
8,棉絮,1
9,棉布,1
10,检查,1
11,梳洗打扮,1
12,梳好,1
13,梦想破灭,1
14,梦寐,1
15,梦境,1
16,梦呓,1
17,梦乡,1
18,梗塞,1
19,桌布,1
20,栽培,1
21,核桃,1
22,样鼓,1
23,样小,1
24,样地,1
25,样发,1
26,森冷,1
27,椅背,1
28,椭圆,1
29,楼下,1
30,歌子,1
31,歌喊,1
32,歌儿,1
33,歇憩,1
34,歇息,1
35,欺负,1
36,欣悦,1
37,欣快,1
38,欣庆女,1
39,欣庆,1
40,欢迎,1
41,欢腾,1
42,校花,1
43,欢笑,1
44,欢呼,1
45,欠身,1
46,檐下,1
47,樱桃,1
48,横躺竖卧,1
49,横行,1
50,横竖,1
51,樊素口,1
52,榜样,1
53,榆城,1
54,楼顶,1
55,楼前,1
56,欢着,1
57,树隙,1
58,树林子,1
59,树影,1
60,极其,1
61,板起面孔,1
62,板子,1
63,板壁,1
64,松花江,1
65,松快,1
66,松开,1
67,杳然,1
68,杭州,1
69,杨梅,1
70,杨柳,1
71,杨旭拉到,1
72,极度,1
73,杨旭向,1
74,杨庄来,1
75,杨庄余,1
76,杨叶,1
77,来面,1
78,来采,1
79,来谋,1
80,来访,1
81,来要,1
82,来接,1
83,来念,1
84,来常,1
85,来压,1
86,杨旭人,1
87,歌德,1
88,极目望去,1
89,枕上,1
90,树干,1
91,树叶,1
92,标致,1
93,柴禾,1
94,柳树下,1
95,柳丝,1
96,柱子,1
97,查查,1
98,柔美,1
99,柔情,1
100,柔声,1
101,某种程度,1
102,枉费心机,1
103,架子,1
104,枯萎,1
105,枯竭,1
106,枯涩,1
107,枪柄,1
108,枪支,1
109,枪子,1
110,枣树,1
111,果树,1
112,果决,1
113,林间,1
114,林道静,1
115,枕头,1
116,架势,1
117,来京,1
118,歌舞,1
119,正义感,1
120,气道,1
121,气色,1
122,气来,1
123,气怕,1
124,气地,1
125,气喘,1
126,气哟,1
127,气势汹汹,1
128,气力,1
129,民间故事,1
130,民族服装,1
131,民族形式,1
132,民族,1
133,毫无所惧,1
134,毫无意义,1
135,毫无希望,1
136,毫无办法,1
137,毫不费力,1
138,毫不理会,1
139,毫不在意,1
140,毛钱,1
141,毛病,1
142,毛毛雨,1
143,毕恭毕敬,1
144,毕了业,1
145,气馁,1
146,水中,1
147,水呵,1
148,水果,1
149,沉溺,1
150,沉浸,1
151,沉沦,1
152,沉没,1
153,沁人心脾,1
154,汾水,1
155,汹涌澎湃,1
156,汹涌,1
157,汲取,1
158,汪着,1
159,汤玉麟,1
160,污脏手,1
161,比试,1
162,污浊,1
163,汇合,1
164,求饶,1
165,求知,1
166,水鸟,1
167,水面,1
168,水门汀,1
169,水里,1
170,水火,1
171,水深火热,1
172,水淋淋,1
173,水浪,1
174,水果篮,1
175,江苏,1
176,毒素,1
177,每逢佳节倍思亲,1
178,每天晚上,1
179,此行,1
180,此生,1
181,此后,1
182,此一时彼一时,1
183,正驰行,1
184,正颜厉色,1
185,正闹,1
186,正赶上,1
187,正说,1
188,正街,1
189,正缺,1
190,正穿,1
191,此起彼落,1
