,chapter,word,count
0,1,一下,1
1,1,一个,12
2,1,一个劲地,1
3,1,一些,1
4,1,一会儿,1
5,1,一位,1
6,1,一共,1
7,1,一切,1
8,1,一团,1
9,1,一声,1
10,1,一壶,1
11,1,一夜,1
12,1,一大,2
13,1,一天,2
14,1,一天天,1
15,1,一套,1
16,1,一定,3
17,1,一封信,3
18,1,一带,1
19,1,一时,1
20,1,一杯,1
21,1,一样,3
22,1,一眼,3
23,1,一般,3
24,1,一起,2
25,1,一身,1
26,1,一边,2
27,1,一阵,1
28,1,丈夫,2
29,1,三个,1
30,1,三口,1
31,1,三步,1
32,1,上爬,1
33,1,上面,2
34,1,下午,1
35,1,下去,2
36,1,下意识,1
37,1,下来,1
38,1,下落,1
39,1,不合理,1
40,1,不好,1
41,1,不好意思,3
42,1,不少,1
43,1,不想,1
44,1,不是,4
45,1,不由得,1
46,1,不知,2
47,1,不禁,1
48,1,不肯,1
49,1,不见得,1
50,1,不觉,2
51,1,不过,1
52,1,不闲,1
53,1,与日俱增,1
54,1,世界,1
55,1,东西,4
56,1,两三个,1
57,1,两个,3
58,1,两人,1
59,1,两口,1
60,1,两步,1
61,1,两眼,1
62,1,两道,1
63,1,严格,1
64,1,严肃,1
65,1,中山装,1
66,1,临来,1
67,1,为什么,3
68,1,之感,1
69,1,九个,1
70,1,买点,1
71,1,了解,1
72,1,事先,1
73,1,事情,2
74,1,二字,1
75,1,二师,1
76,1,于是,2
77,1,云黑,1
78,1,交给,1
79,1,亲切,1
80,1,亲热,1
81,1,人才,1
82,1,人民,1
83,1,人竟,1
84,1,什么,14
85,1,什么样,2
86,1,介绍,7
87,1,从来,1
88,1,仔细,2
89,1,他们,3
90,1,他来,1
91,1,代表,2
92,1,以前,1
93,1,仰起,1
94,1,伍雨田,1
95,1,似乎,2
96,1,似笑非笑,1
97,1,佃农,1
98,1,但是,5
99,1,位置,1
100,1,低沉,1
101,1,作业,2
102,1,你些,1
103,1,你们,2
104,1,使人,1
105,1,使得,1
106,1,俄罗斯,1
107,1,保定,1
108,1,做官,1
109,1,做梦,1
110,1,偷偷,1
111,1,傍晚,1
112,1,充满,1
113,1,党部,1
114,1,全对,1
115,1,全是,1
116,1,全部,1
117,1,共产党,1
118,1,关外,1
119,1,关心,1
120,1,关系,1
121,1,兴奋,3
122,1,其中,1
123,1,其他,1
124,1,具体,1
125,1,养活,2
126,1,农民,1
127,1,冲口,1
128,1,减少,1
129,1,几个,1
130,1,出去,2
131,1,出来,2
132,1,出自,1
133,1,别人,1
134,1,别忘了,1
135,1,别的,2
136,1,别着急,1
137,1,办法,2
138,1,功课,1
139,1,努力,1
140,1,劳动,1
141,1,包吃,1
142,1,包括,1
143,1,北大,1
144,1,北大学生,1
145,1,北平,1
146,1,北方,1
147,1,半旧,1
148,1,原处,1
149,1,原来,2
150,1,原注,1
151,1,参加,1
152,1,反抗,2
153,1,发觉,1
154,1,发问,1
155,1,变得,1
156,1,口吻,1
157,1,口袋,1
158,1,另外,2
159,1,只好,1
160,1,只想,1
161,1,只是,1
162,1,只用,1
163,1,可以,2
164,1,可忘,1
165,1,可敬,1
166,1,可是,5
167,1,吃过饭,2
168,1,吃饭,2
169,1,同志会,1
170,1,名产,1
171,1,名叫,3
172,1,名牌货,1
173,1,向往,1
174,1,听见,1
175,1,启发,1
176,1,告诉,7
177,1,呢帽,1
178,1,和善,1
179,1,咱俩,1
180,1,哎呀,1
181,1,哥哥,1
182,1,哪儿,3
183,1,喜形于色,1
184,1,喜欢,1
185,1,嗓门,1
186,1,嘀咕,2
187,1,嘉川,3
188,1,嘱咐,1
189,1,噗哧,1
190,1,四十多岁,1
191,1,四十岁,1
192,1,回来,3
193,1,回答,2
194,1,回问,1
195,1,因为,1
196,1,因此,1
197,1,围着,1
198,1,国民党员,1
199,1,地主,1
200,1,地方,3
201,1,地笑,1
202,1,地说,2
203,1,坐下,1
204,1,坐在,2
205,1,城里,2
206,1,基督教徒,1
207,1,声音,2
208,1,外面,1
209,1,多么,1
210,1,多吃点,1
211,1,多少,4
212,1,多年不见,1
213,1,多愁善感,1
214,1,大会,1
215,1,大学生,1
216,1,大概,1
217,1,大门口,1
218,1,夫妇,1
219,1,失业,1
220,1,失学,1
221,1,头来,1
222,1,奇怪,2
223,1,女人,1
224,1,女儿,2
225,1,女教员,4
226,1,奴隶,1
227,1,好人,2
228,1,好像,2
229,1,好多,1
230,1,好大,1
231,1,好容易,1
232,1,姑姑,3
233,1,姑娘,1
234,1,姓江,1
235,1,姿态,1
236,1,婚事,1
237,1,婚姻,2
238,1,学校,3
239,1,学潮,1
240,1,学生,7
241,1,完全,1
242,1,定县,7
243,1,实话,1
244,1,家伙,1
245,1,家庭,2
246,1,家里,1
247,1,对于,1
248,1,将要,1
249,1,小南,1
250,1,小声,2
251,1,小学,1
252,1,小学校,1
253,1,就是,2
254,1,就要,1
255,1,尽管如此,1
256,1,屋点,1
257,1,屋里,1
258,1,屋门,1
259,1,工人,1
260,1,工作,2
261,1,工夫,1
262,1,左右,1
263,1,希望,2
264,1,带上,1
265,1,带到,1
266,1,带来,1
267,1,帮帮忙,1
268,1,帮忙,2
269,1,常常,1
270,1,常往,1
271,1,干什么,1
272,1,干脆,1
273,1,平汉线,1
274,1,年轻,3
275,1,年轻人,2
276,1,并且,1
277,1,幸福,1
278,1,幻想,2
279,1,应当,2
280,1,开口,1
281,1,开始,1
282,1,开学,1
283,1,开玩笑,1
284,1,弄水,1
285,1,弄饭,1
286,1,引起,1
287,1,张罗,1
288,1,强迫,1
289,1,当天,1
290,1,当成,1
291,1,当然,4
292,1,当起,1
293,1,形容,1
294,1,很快,1
295,1,徐辉,9
296,1,得到,1
297,1,得怪,1
298,1,微微一笑,2
299,1,微笑,1
300,1,心灵,1
301,1,心里,3
302,1,忍不住,1
303,1,忘情,1
304,1,忧国,1
305,1,怀念,1
306,1,怎么,7
307,1,怎么样,3
308,1,怎样,4
309,1,怏怏,1
310,1,思想,2
311,1,急得,1
312,1,情况,6
313,1,惊奇,1
314,1,惊异,1
315,1,想不到,1
316,1,想入非非,1
317,1,想到,1
318,1,想着,2
319,1,意思,1
320,1,感到,2
321,1,感觉,2
322,1,愿意,1
323,1,慢慢,1
324,1,憎恨,2
325,1,成份,2
326,1,我们,4
327,1,或者,1
328,1,戴着,1
329,1,房间,1
330,1,所以,1
331,1,手笑,1
332,1,手脚,1
333,1,手里,1
334,1,打住,1
335,1,打听,3
336,1,打水,1
337,1,打牌,1
338,1,找不着,1
339,1,找个,1
340,1,找到,1
341,1,找门路,1
342,1,拘束,1
343,1,挣钱,1
344,1,掏出,1
345,1,接信,1
346,1,接到,2
347,1,接着,1
348,1,掩护,1
349,1,提包,1
350,1,提高,1
351,1,握住,1
352,1,摆摆手,1
353,1,摇头晃脑,1
354,1,摇摇头,2
355,1,放在,1
356,1,政府,1
357,1,故事,1
358,1,敏感,1
359,1,教书,1
360,1,教员,4
361,1,教授,1
362,1,数目,1
363,1,整个,1
364,1,无人,1
365,1,无从,1
366,1,日子,2
367,1,早就,2
368,1,早点,1
369,1,时候,3
370,1,时常,1
371,1,星期,1
372,1,春天,1
373,1,是否,1
374,1,显露出来,1
375,1,晓燕,1
376,1,最可气,1
377,1,最后,2
378,1,最好,1
379,1,最近,1
380,1,有些,1
381,1,有人,2
382,1,有位,1
383,1,有名,1
384,1,有时,1
385,1,有没有,1
386,1,有点,1
387,1,有病,1
388,1,有白,1
389,1,有钱,1
390,1,朋友,5
